id,filename,speaker,tags,transcription
718,I'MAPRO.wav,unknown man,pro,im a pro
719,I'MHOT-LARRY.mp3,larry nickel,hot larry,im hot
720,I'MNOTGAY.wav,unknown man,gay,im not gay
721,I'MPRETTYHOTH.mp3,tim,hoth ,im pretty hoth
722,I'MTHEBULL.mp3,jimmy the bull,bull,im not hard to find im the bull
723,I'MTHEDOUCHE.mp3,plowboy,douche plowboy,im the douche
724,I'M-ADOME.wav,charlie,ima do me charlie,"you do you, ima do me"
725,I'VEWORKEDINTV.mp3,charlie,network television journalism charlie,ive worked in television for 11 years professionaly 
726,IDIOT.mp3,cat,idiot,what an idiot
727,IDKIFTHATSWHATYOUSAID.wav,weezer,weezer dunno,I dont know if thats what you said
728,IFONLYWECOULDBEDOUG.mp3,unknown man,could be doug,if only we could be doug vaughn
729,IFWEWERESMART.mp3,charlie,smart charlie,"and if we were smart, which we werent "
730,IGGYCUCKOLD.wav,iggy,cuck hedonism iggy mmf threesome swinger,a nice lady and her husband come up and asked if I wanted to join them in the pool
731,ILLEGALFORMATION.mp3,unknown man,rams illegal formation,illegal formation the whole right side of the line was not on the line of scrimmage 
732,IMACOOL.mp3,big al,cool big al,cat tell em im a cool
733,IMAGAY.mp3,unknown man,gay,im a gay
734,IMAWESOME-LARRY.mp3,larry nickel,awesome larry,and im awesome
735,IMEXCITED.wav,unknown woman,woman excited,im excited
736,"IMLACTATING,THX.wav",chaps,lactating chaps,doug im lactating thanks
737,IMPRETTYDAMNGOOD.wav,tim,damn good,yea im pretty damn good
738,IMSTICKINGITIN.wav,tim,stick in,Ill tell you what im doing im sticking it in
739,IMPERIALISTICBASTARD.wav,unknown man,imperialistic bastard,imperalistic bastard
740,INBED.mp3,tim,bed,doug and I watched it in bed
741,INGAYCOMMUNITY.mp3,plowboy,gay community twink plowboy,basically doug I would be in the gay community a twink
742,INTHEBUTT.mp3,tim,butt,what what in the butt
743,INTHEPASTJIM.wav,matt holliday ,past matt holliday,dont live in the past jim
744,INYOURMOUTH.mp3,plowboy,inch mouth oral,quarter inch in your mouth
745,INCHESNEEDTOBEFILLED.mp3,unknown man,inches filled,there are inches of open spaces that need to be filled
746,INDIFFERENTTODOUG.mp3,joe strauss,strauss indifferent,totally indifferent to what doug says
747,INSIDESKINNY.wav,cat,inside skinny,thanks for the inside skinny
748,INSTANTLEGEND.mp3,charlie,legent,instant legend
749,INTELLIGENTGAYGUYS.mp3,tim,intelligent gay,guys who are intelligent but very gay
750,INTERESTINGSEGMENT.mp3,unknown woman,interesting segment,yea it was definitely an interesting segment 
751,INTERNMIKE.wav,tim,intern twink,intern mike is a cute little twink
752,INTERRUPT.mp3,unknown man,interrupt,I donÍt want to interrupt anything am I interrupting something
753,INTOTHEGAYS.mp3,katie kay,katie kay kkd lesbian gays,I guess im probably into the gays though
754,IRISHWISKEY&SMALLPENIS.mp3,tim,irish penis small,theres al mcguire and hes gonna have some irish whiskey with a small penis
755,ISTHISJAYJR.mp3,timberfake,timberfake jay randolph,is this randolph jr
756,ISTIMHERE(MO).mp3,john mozeliak,mozeliak ,is tim here
757,ISTIMTHERE.mp3,caller adam,there tim adam,is tim there
758,ITMATTERS.wav,frank cusumano,matters frank it matters it matters,
759,ITSUCKED.wav,unknown man,sucked terrible,aw it sucked
760,ITSUCKS.wav,caller adam,sucks adam,it sucks
761,IT'LLBEALRIGHT.mp3,rick hummel ,hummel breath alright,take a deep breath itll be alright
762,IT'S50-50.mp3,charlie,charlie undecided,its 50 50
763,IT'SINTHERE.wav,mike lee,lee in there,its in there
764,ITCHTOSCRATCH.mp3,tim,itch scratch,donÍt you have an itch you have to scratch
765,ITSASPANIEL.mp3,charlie,spaniel charlie,itÍs a spaniel
766,ITSDAMNTRUE-LARRY.mp3,larry nickel,true larry,its true its true its damn true
767,ITSNOT1967DOUG.mp3,unknown man,past ,its not 1967 anymore doug
768,ITSOKAYDOUG.wav,larry nickel,okay larry,its ok doug
769,ITSTHE90S.wav,tim,relationships,itÍs the 90s and open relationships were all the rage
770,ITSTHESEC.wav,unknown man,sec,itÍs the sec man
771,ITSTRUE.wav,joe roderick,roderick true,its true doug
772,IZZO.wav,dick vitale,izzo vitale tournament ncaa march madness italian,sorry tom izzo
773,JACKKENNEDYOFLESBIANISM.mp3,tim,lesbianism jack kennedy,im the jack kennedy of lesbianism
774,JANIEWANTTOTOUCH.mp3,jay jr,lesbian janie jr touch,janie you want to touch
775,JAREDFROMSUBWAYCUTOUT.mp3,unknown man,jared subway cutout,hey doug what are you going to do with your jared from subway cutout
776,JASMINSIDEOFDOUG.mp3,jasmine huda,jasmine huda kmov,well I have never seen this side of you doug
777,JAYJRBULL.mp3,plowboy,jay bull plowboy,sounds like jay jr is more of a bull than we thought
778,JENNASCHOOL.mp3,unknown woman,jenna,the jenna school
779,JERKOFFTEXTERS.mp3,charlie,texters charlie jerk,all these jerk off texters
780,JEWISHRIGAMAROO.mp3,caller adam,jewish jha adam rigamaroo,that sounds like a bunch of jewish rigamaroo
781,JHESCOUTINGDOUG.mp3,cat,jhe jewish scouting cat,JHE is scouting Doug Vaughn
782,JHEXMAS.mp3,unknown man,xmas jhe holidays christmas jewish,I didnÍt realize that jim hayes enterprises celebrated the xmas side of the holiday
783,JIMROSS.wav,jim ross,wwe jim ross wrestling slobberknocker,its going to be a sloberknocker
784,JIMMYS.wav,charlie,jimmys condom charlie,arent jimmys a name for a condom
785,JOEONJORTS.wav,prodjoe,jorts prodjoe aroused hard,theres nothing that gets me harder than jorts
786,JOERODERICKBROADCASTING.mp3,doug,joe roderick broadcasting engineering,welcome to joe roderick broadcasting
787,JOERODERICKLEAGUE.mp3,prodjoe,prodjoe joe roderick fantasy league,hey I donÍt run a joe roderick league
788,JOHNKELLEYCANTWAITTOSEECAT.mp3,john kelley,cat john kelley ,cat I cant wait to see you
789,JORDANWALDENBALOONPARTY.mp3,joe strauss,strauss walden,jordan walden baloon party is on its way
790,JOURNALISMVICTORY.wav,unknown man,journalism,a journalism victory
791,JUICESSQUIRTINGEVERYWHERE.wav,charlie,juices squirting charlie,juices squirting everywhere
792,JUMPFENCE.mp3,cat,jump fence,they were screaming at him they were going to jump the fence come on the field and have their way with him
793,JUNKINTRUNK.mp3,willy,junk trunk booty,you like some junk in the trunk
794,JUSTACRACKER.wav,cat,cracker cat caulk,you are just a cracker
